"PhotoBurst"		333.6	18.488	304.1	14.959
"SmartSecurity"		315.25	22.998	296.1	19.676
"LightMyPath"		146.75	23.954	94.65	3.602
"SmartCamera"		295.95	24.983	283.85	19.786
"SpotifyController"	69.6	9.167	49.2	14.716
"AudioMessage"		691.15	30.361	583.65	27.566
"What'sUp"		293.95	28.435	272.15	21.777
"LightItUp"		68.65	9.895	42.5	8.531
"DoorCheck"		76.85	23.928	56.6	16.803
"WillItRain"		90.8	15.319	65.75	20.09
"Doorman"		89.1	6.348	59.65	9.455
"AutolockAfterXMin"	32.1	5.919	31.35	3.703
"DoorNotifier"		116.9	8.614	109.95	10.505
"LetThereBeLight"	77.4	13.971	71.5	12.228
"HoneyI'mHome"		161.15	13.456	149.7	12.393
"Economie"		79	14.208	71.15	11.913
"Baby'sUp"		330.4	23.027	308.55	22.036
"SmokeAlarm"		143.9	23.632	118.15	3.133
"SmokeAlert"		66.5	11.45	52.95	1.904
#"WatchMyHouse"		1850.45	251.745	1814.1	304.86
"VacationLightning"	67.95	6.253	48.5	1.986
